name,dosageType,generic,strength,manufacturer,UnitPrice,PackageSize
Acubis,Tablet,Bisoprolol Hemifumarate,2.5 mg,Concord Pharmaceuticals Ltd.,6.02,(30's pack: ৳ 180.60)
Avlosef,Pediatric Drops,Cephradine,125 mg/1.25 ml,ACI Limited,15,15 ml bottle: ৳ 65.20
Avlosef,Powder for Suspension,Cephradine,125 mg/5 ml,ACI Limited,100,100 ml bottle: ৳ 90.27
Avlosef,Capsule,Cephradine,500 mg,ACI Limited,15.05,(32's pack: ৳ 481.60)
Avlosef,Capsule,Cephradine,250 mg,ACI Limited,8.02,(32's pack: ৳ 256.64)
Avloquin,Syrup,Chloroquine Phosphate,50 mg/5 ml,ACI Limited,60,60 ml bottle: ৳ 14.91
Avloquin,Tablet,Chloroquine Phosphate,250 mg,ACI Limited,1.32,(100's pack: ৳ 132.00)
Avlomox DS,Powder for Suspension,Amoxicillin Trihydrate,250 mg/5 ml,ACI Limited,60,60 ml bottle: ৳ 49.73
Avlomox,IM/IV Injection,Amoxicillin Trihydrate,500 mg/vial,ACI Limited,500,500 mg vial: ৳ 32.10
Avlomox,Powder for Suspension,Amoxicillin Trihydrate,125 mg/5 ml,ACI Limited,100,100 ml bottle: ৳ 46.32
Avlomox,Capsule,Amoxicillin Trihydrate,250 mg,ACI Limited,3.45,(100's pack: ৳ 345.00)
Avlomox,Capsule,Amoxicillin Trihydrate,500 mg,ACI Limited,6.12,(40's pack: ৳ 244.80)
Avlomox,Pediatric Drops,Amoxicillin Trihydrate,125 mg/1.25 ml,ACI Limited,15,15 ml bottle: ৳ 30.29
Avloclav BID,Powder for Suspension,Amoxicillin + Clavulanic Acid,(400 mg+57.50 mg)/5 ml,ACI Limited,50,50 ml bottle: ৳ 195.00
Avloclav,Tablet,Amoxicillin + Clavulanic Acid,250 mg+125 mg,ACI Limited,25.00,(18's pack: ৳ 450.00)
Avloclav,Tablet,Amoxicillin + Clavulanic Acid,500 mg+125 mg,ACI Limited,32.00,(18's pack: ৳ 576.00)
Avloclav,Tablet,Amoxicillin + Clavulanic Acid,875 mg+125 mg,ACI Limited,45.00,(12's pack: ৳ 540.00)
Avloclav,IV Injection,Amoxicillin + Clavulanic Acid,(1 gm+200 mg)/20 ml,ACI Limited,1.2,1.2 gm vial: ৳ 300.00
Avloclav,IV Injection,Amoxicillin + Clavulanic Acid,(500 mg+100 mg)/10 ml,ACI Limited,600,600 mg vial: ৳ 150.00
Avloclav,Powder for Suspension,Amoxicillin + Clavulanic Acid,(125 mg+31.25 mg)/5 ml,ACI Limited,100,100 ml bottle: ৳ 220.00
Avlocid Plus,Oral Suspension,Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,(400 mg+400 mg+30 mg)/5 ml,ACI Limited,200,200 ml bottle: ৳ 75.23
Avlocid Plus,Chewable Tablet,Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,400 mg+400 mg+30 mg,ACI Limited,2.01,(250's pack: ৳ 502.50)
Avlocid MS,Chewable Tablet,Magaldrate + Simethicone,480 mg+20 mg,ACI Limited,3.01,(100's pack: ৳ 301.00)
Avlocid MS,Oral Suspension,Magaldrate + Simethicone,(480 mg+20 mg)/5 ml,ACI Limited,200,200 ml bottle: ৳ 100.30
Avlocid,Chewable Tablet,Aluminium Hydroxide + Magnesium Hydroxide,175 mg+225 mg,ACI Limited,0.73,(250's pack: ৳ 182.50)
Avlocid,Oral Suspension,Aluminium Hydroxide + Magnesium Hydroxide,(250 mg+400 mg)/5 ml,ACI Limited,200,200 ml bottle: ৳ 50.00
Avista,Tablet,Super antioxidant [vitamins & minerals],,Kemiko Pharmaceuticals Ltd.,4.00,(30's pack: ৳ 120.00)
Avison,Cream,Econazole Nitrate + Triamcinolone Acetonide,1%+0.1%,Orion Pharma Ltd.,10,10 gm tube: ৳ 48.00
Avintol,Tablet,Vinpocetine,5 mg,ACI Limited,3.00,(50's pack: ৳ 150.00)
Avilam,Tablet,Lamivudine [For HIV Infection],150 mg,Beximco Pharmaceuticals Ltd.,25.00,(10's pack: ৳ 250.00)
Avil Retard,Tablet,Pheniramine Maleate,75 mg,Synovia pharma plc,2.02,(100's pack: ৳ 202.00)
Acubis,Tablet,Bisoprolol Hemifumarate,5 mg,Concord Pharmaceuticals Ltd.,10.03,(30's pack: ৳ 300.90)
Axefur,Powder for Suspension,Cefuroxime Axetil,125 mg/5 ml,Amulet Pharmaceuticals Ltd.,70,70 ml bottle: ৳ 198.00
Axefur,Tablet,Cefuroxime Axetil,250 mg,Amulet Pharmaceuticals Ltd.,25.00,(12's pack: ৳ 300.00)
Axeclav,Tablet,Cefuroxime Axetil + Clavulanic Acid,500 mg+125 mg,Alco Pharma Ltd.,50.00,(8's pack: ৳ 400.00)
Axeclav,Powder for Suspension,Cefuroxime Axetil + Clavulanic Acid,(125 mg+31.25 mg)/5 ml,Alco Pharma Ltd.,70,70 ml bottle: ৳ 250.00
Axeclav,Tablet,Cefuroxime Axetil + Clavulanic Acid,250 mg+62.5 mg,Alco Pharma Ltd.,30.00,(12's pack: ৳ 360.00)
Axant,Tablet,Baclofen,10 mg,Novus Pharmaceuticals Ltd.,4.50,(30's pack: ৳ 135.00)
Axant,Tablet,Baclofen,25 mg,Novus Pharmaceuticals Ltd.,8.00,(20's pack: ৳ 160.00)
AX,Tablet,Betacarotene + Vitamin C + Vitamin E,6 mg+200 mg+50 mg,Bristol Pharmaceuticals Ltd.,2.53,(30's pack: ৳ 75.90)
Avudin,Tablet,Lamivudine + Zidovudine,150 mg+300 mg,Square Pharmaceuticals Ltd.,45.00,(10's pack: ৳ 450.00)
Avro,Ophthalmic Solution,Travoprost,0.00%,Drug International Ltd.,3,3 ml drop: ৳ 451.40
Avotil,Tablet,Prochlorperazine Maleate,5 mg,Rephco Pharmaceuticals Ltd.,0.30,(200's pack: ৳ 60.00)
Avost Plus,Ophthalmic Solution,Travoprost + Timolol Maleate,0.004%+0.5%,Ibn Sina Pharmaceuticals Ltd.,3,3 ml drop: ৳ 500.00
Avost,Ophthalmic Solution,Travoprost,0.00%,Ibn Sina Pharmaceuticals Ltd.,3,3 ml drop: ৳ 470.00
Avonoid,Tablet,Micronised Diosmin + Hesperidin,450 mg+50 mg,UniMed UniHealth,8.00,(30's pack: ৳ 240.00)
Avonex,Tablet,Meclizine + Pyridoxine,25 mg+50 mg,Novo Healthcare and Pharma Ltd.,2.51,(30's pack: ৳ 75.22)
Avona,Tablet,Ondansetron,8 mg,Popular Pharmaceuticals Ltd.,10.00,(30's pack: ৳ 300.00)
Avona,Oral Solution,Ondansetron,4 mg/5 ml,Popular Pharmaceuticals Ltd.,50,50 ml bottle: ৳ 32.00
Avomit,Oral Suspension,Domperidone Maleate,5 mg/5 ml,Chemist Laboratories  Ltd.,60,60 ml bottle: ৳ 28.00
Avomit,Tablet,Domperidone Maleate,10 mg,Chemist Laboratories  Ltd.,2.00,(150's pack: ৳ 300.00)
Avomine,Tablet,Promethazine Theoclate,25 mg,Synovia pharma plc,0.57,(600's pack: ৳ 342.00)
Avolose,Oral Solution,Lactulose,3.35 gm/5 ml,Team Pharmaceuticals Ltd.,100,100 ml bottle: ৳ 135.00
Avolac,Oral Solution,Lactulose,3.35 gm/5 ml,Aristopharma Ltd.,100,100 ml bottle: ৳ 140.00
Avodil VL,Tablet,Amlodipine Besilate + Valsartan,10 mg+320 mg,Opsonin Pharma Ltd.,32.00,(20's pack: ৳ 640.00)
Avocard,Tablet,Atorvastatin Calcium,10 mg,The White Horse Pharma,10.00,(30's pack: ৳ 300.00)
Avocard,Tablet,Atorvastatin Calcium,20 mg,The White Horse Pharma,16.00,(30's pack: ৳ 480.00)
Avlotrin DS,Tablet,Sulphamethoxazole + Trimethoprim,800 mg+160 mg,ACI Limited,2.01,(100's pack: ৳ 201.00)
Avlotrin,Tablet,Sulphamethoxazole + Trimethoprim,400 mg+80 mg,ACI Limited,1.50,(250's pack: ৳ 375.00)
Avlotrin,Oral Suspension,Sulphamethoxazole + Trimethoprim,(200 mg+40 mg)/5 ml,ACI Limited,60,60 ml bottle: ৳ 22.21
Avlosef DS,Powder for Suspension,Cephradine,250 mg/5 ml,ACI Limited,60,60 ml bottle: ৳ 80.54
Actulose,Oral Solution,Lactulose,3.35 gm/5 ml,Silva Pharmaceuticals Ltd.,100,100 ml bottle: ৳ 60.22
Actrim-DS,Tablet,Sulphamethoxazole + Trimethoprim,800 mg+160 mg,Globe Pharmaceuticals Ltd.,2.00,(100's pack: ৳ 200.00)
Aximin,Tablet,Rifaximin,550 mg,ACME Laboratories Ltd.,45.13,(10's pack: ৳ 451.30)
Axim CV,Tablet,Cefuroxime Axetil + Clavulanic Acid,250 mg+62.5 mg,Aristopharma Ltd.,30.00,(12's pack: ৳ 360.00)
Axim CV,Powder for Suspension,Cefuroxime Axetil + Clavulanic Acid,(125 mg+31.25 mg)/5 ml,Aristopharma Ltd.,70,70 ml bottle: ৳ 250.00
Axim CV,Tablet,Cefuroxime Axetil + Clavulanic Acid,500 mg+125 mg,Aristopharma Ltd.,50.00,(8's pack: ৳ 400.00)
Axim,Tablet,Cefuroxime Axetil,250 mg,Aristopharma Ltd.,25.00,(20's pack: ৳ 500.00)
Axim,Tablet,Cefuroxime Axetil,500 mg,Aristopharma Ltd.,45.00,(10's pack: ৳ 450.00)
Axim,IM/IV Injection,Cefuroxime Axetil,750 mg/vial,Aristopharma Ltd.,750,750 mg vial: ৳ 125.00
Axim,IV Injection,Cefuroxime Axetil,1.5 gm/vial,Aristopharma Ltd.,1.5,1.5 gm vial: ৳ 200.00
Axim,Tablet,Cefuroxime Axetil,125 mg,Aristopharma Ltd.,15.00,(10's pack: ৳ 150.00)
Axim,Powder for Suspension,Cefuroxime Axetil,125 mg/5 ml,Aristopharma Ltd.,70,70 ml bottle: ৳ 225.00
Axicef Plus,Tablet,Cefuroxime Axetil + Clavulanic Acid,125 mg+31.25 mg,UniMed UniHealth,14.00,(18's pack: ৳ 252.00)
Axicef Plus,Powder for Suspension,Cefuroxime Axetil + Clavulanic Acid,(125 mg+31.25 mg)/5 ml,UniMed UniHealth,70,70 ml bottle: ৳ 250.00
Axicef Plus,Tablet,Cefuroxime Axetil + Clavulanic Acid,500 mg+125 mg,UniMed UniHealth,50.00,(14's pack: ৳ 700.00)
Axicef Plus,Tablet,Cefuroxime Axetil + Clavulanic Acid,250 mg+62.5 mg,UniMed UniHealth,30.00,(14's pack: ৳ 420.00)
Axicef,Tablet,Cefuroxime Axetil,250 mg,UniMed UniHealth,25.00,(12's pack: ৳ 300.00)
Axicef,Tablet,Cefuroxime Axetil,500 mg,UniMed UniHealth,45.00,(8's pack: ৳ 360.00)
Axicef,Powder for Suspension,Cefuroxime Axetil,125 mg/5 ml,UniMed UniHealth,70,70 ml bottle: ৳ 200.00
Axibid,Tablet,Cefuroxime Axetil,250 mg,Nuvista Pharma Ltd.,25.08,(14's pack: ৳ 351.12)
Axibid,Tablet,Cefuroxime Axetil,500 mg,Nuvista Pharma Ltd.,45.13,(7's pack: ৳ 315.90)
Axetil,Powder for Suspension,Cefuroxime Axetil,125 mg/5 ml,Alco Pharma Ltd.,70,70 ml bottle: ৳ 190.58
Axetil,Tablet,Cefuroxime Axetil,500 mg,Alco Pharma Ltd.,45.14,(12's pack: ৳ 541.68)
Axetil,Tablet,Cefuroxime Axetil,250 mg,Alco Pharma Ltd.,25.08,(12's pack: ৳ 300.97)
Axetil,Tablet,Cefuroxime Axetil,125 mg,Alco Pharma Ltd.,12.04,(12's pack: ৳ 144.49)
Axet,IM/IV Injection,Cefuroxime Axetil,750 mg/vial,Orion Pharma Ltd.,750,750 mg vial: ৳ 125.86
Axet,Powder for Suspension,Cefuroxime Axetil,125 mg/5 ml,Orion Pharma Ltd.,70,70 ml bottle: ৳ 216.46
Axet,Tablet,Cefuroxime Axetil,500 mg,Orion Pharma Ltd.,45.30,(12's pack: ৳ 543.60)
Axet,Tablet,Cefuroxime Axetil,250 mg,Orion Pharma Ltd.,25.16,(20's pack: ৳ 503.20)
Axet,Tablet,Cefuroxime Axetil,125 mg,Orion Pharma Ltd.,15.10,(20's pack: ৳ 302.00)
Axepime,IM/IV Injection,Cefepime Hydrochloride,1 gm/vial,Euro Pharma Ltd.,1,1 gm vial: ৳ 550.00
Actrim,Oral Suspension,Sulphamethoxazole + Trimethoprim,(200 mg+40 mg)/5 ml,Globe Pharmaceuticals Ltd.,60,60 ml bottle: ৳ 22.00
Actrapid Penfill,SC Injection,Insulin Human [Fast-Acting],100 IU/ml,Novo Nordisk Pharma (Pvt.) Ltd,3,"(5's pack: ৳ 2,095.00)"
Axosin,IV Injection,Ceftriaxone Sodium,1 gm/vial,Ibn Sina Pharmaceuticals Ltd.,1,1 gm vial: ৳ 180.00
Axosin,IV Injection,Ceftriaxone Sodium,250 mg/vial,Ibn Sina Pharmaceuticals Ltd.,250,250 mg vial: ৳ 90.00
Axosin,IV Injection,Ceftriaxone Sodium,500 mg/vial,Ibn Sina Pharmaceuticals Ltd.,500,500 mg vial: ৳ 120.46
Axosin,IV Injection,Ceftriaxone Sodium,2 gm/vial,Ibn Sina Pharmaceuticals Ltd.,2,2 gm vial: ৳ 290.00
Axosin,IM Injection,Ceftriaxone Sodium,1 gm/vial,Ibn Sina Pharmaceuticals Ltd.,1,1 gm vial: ৳ 180.00
Axosin,IM Injection,Ceftriaxone Sodium,250 mg/vial,Ibn Sina Pharmaceuticals Ltd.,250,250 mg vial: ৳ 90.00
Axosin,IM Injection,Ceftriaxone Sodium,500 mg/vial,Ibn Sina Pharmaceuticals Ltd.,500,500 mg vial: ৳ 120.46
Axon,IV Injection,Ceftriaxone Sodium,2 gm/vial,Aristopharma Ltd.,2,2 gm vial: ৳ 300.00
Axon,IV Injection,Ceftriaxone Sodium,1 gm/vial,Aristopharma Ltd.,1,1 gm vial: ৳ 200.00
Axon,IV Injection,Ceftriaxone Sodium,500 mg/vial,Aristopharma Ltd.,500,500 mg vial: ৳ 130.00
Axon,IV Injection,Ceftriaxone Sodium,250 mg/vial,Aristopharma Ltd.,250,250 mg vial: ৳ 100.00
Axon,IM Injection,Ceftriaxone Sodium,1 gm/vial,Aristopharma Ltd.,1,1 gm vial: ৳ 200.00
Axon,IM Injection,Ceftriaxone Sodium,500 mg/vial,Aristopharma Ltd.,500,500 mg vial: ৳ 130.00
Axon,IM Injection,Ceftriaxone Sodium,250 mg/vial,Aristopharma Ltd.,250,250 mg vial: ৳ 100.00
Axofyl,Tablet,Doxophylline,400 mg,Orion Pharma Ltd.,10.00,(30's pack: ৳ 300.00)
Axofyl,Tablet,Doxophylline,200 mg,Orion Pharma Ltd.,6.00,(30's pack: ৳ 180.00)
Axofen,Oral Suspension,Fexofenadine Hydrochloride,30 mg/5 ml,Aristopharma Ltd.,50,50 ml bottle: ৳ 55.00
Axofen,Tablet,Fexofenadine Hydrochloride,180 mg,Aristopharma Ltd.,10.00,(20's pack: ৳ 200.00)
Axofen,Tablet,Fexofenadine Hydrochloride,120 mg,Aristopharma Ltd.,8.00,(30's pack: ৳ 240.00)
Axodin,Oral Suspension,Fexofenadine Hydrochloride,30 mg/5 ml,Beximco Pharmaceuticals Ltd.,50,50 ml bottle: ৳ 55.00
Axodin,Tablet,Fexofenadine Hydrochloride,180 mg,Beximco Pharmaceuticals Ltd.,9.00,(30's pack: ৳ 270.00)
Axodin,Tablet,Fexofenadine Hydrochloride,120 mg,Beximco Pharmaceuticals Ltd.,7.00,(30's pack: ৳ 210.00)
Axodin,Tablet,Fexofenadine Hydrochloride,60 mg,Beximco Pharmaceuticals Ltd.,5.00,(50's pack: ৳ 250.00)
Axlovir,Tablet,Nirmatrelvir + Ritonavir,150 mg+100 mg,Square Pharmaceuticals Ltd.,3,3 tablet combipack: ৳ 1
Axinix,Tablet,Axitinib,5 mg,Beacon Pharmaceuticals Ltd.,1000.00,"(60's pack: ৳ 60,000.00)"
Axinix,Tablet,Axitinib,1 mg,Beacon Pharmaceuticals Ltd.,500.00,"(180's pack: ৳ 90,000.00)"
Axinat-F,Inhaler,Salmeterol + Fluticasone Propionate,(25 mcg+125 mcg)/puff,ACME Laboratories Ltd.,120,120 metered doses: ৳ 577.16
Axinat-F,Inhaler,Salmeterol + Fluticasone Propionate,(25 mcg+250 mcg)/puff,ACME Laboratories Ltd.,120,120 metered doses: ৳ 752.83
Axinat,Inhaler,Salmeterol Xinafoate,25 mcg/puff,ACME Laboratories Ltd.,200,200 metered doses: ৳ 191.29
Actrapid FlexPen,SC Injection,Insulin Human [Fast-Acting],100 IU/ml,Novo Nordisk Pharma (Pvt.) Ltd,3,"(5's pack: ৳ 2,105.00)"
Actrapid,SC Injection,Insulin Human [Fast-Acting],100 IU/ml,Eskayef Pharmaceuticals Ltd.,10,10 ml vial: ৳ 415.00
Azexia,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Pharmasia Limited,20,20 ml bottle: ৳ 95.00
Azexia,Tablet,Azithromycin Dihydrate,500 mg,Pharmasia Limited,34.00,(20's pack: ৳ 680.00)
Azepam,Tablet,Diazepam,5 mg,ACME Laboratories Ltd.,0.69,"(50's pack: ৳ 34.50),(200's pack: ৳ 138.00)"
Azelto,Capsule,Naftidrofuryl Oxalate,100 mg,Ziska Pharmaceuticals Ltd.,12.00,(32's pack: ৳ 384.00)
Azelta,Nasal Spray,Azelastine Hydrochloride (Nasal Spray),137 mcg/spray,Opso Saline Ltd.,120,120 metered sprays: ৳ 180.54
Azelec,Cream,Azelaic Acid,20%,ACME Laboratories Ltd.,10,10 gm tube: ৳ 75.51
Azelast,Nasal Spray,Azelastine Hydrochloride (Nasal Spray),137 mcg/spray,Incepta Pharmaceuticals Ltd.,120,120 metered sprays: ৳ 180.00
Azeflu,Nasal Spray,Azelastine Hydrochloride + Fluticasone Propionate,(137 mcg+50 mcg)/spray,Opso Saline Ltd.,120,120 metered sprays: ৳ 320.00
Azee,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Guardian Healthcare Ltd.,15,15 ml bottle: ৳ 85.00
Azee,Tablet,Azithromycin Dihydrate,500 mg,Guardian Healthcare Ltd.,30.10,(12's pack: ৳ 361.20)
Azecol,Eye Capsule,"Vitamin C, Vitamin E, Lutein, Copper & Zinc",,Incepta Pharmaceuticals Ltd.,10.00,(32's pack: ৳ 320.00)
Azebac,Tablet,Azithromycin Dihydrate,500 mg,S.N. Pharmaceutical Ltd.,30.00,(12's pack: ৳ 360.00)
Azbec,Inhaler,Beclomethasone Dipropionate (Inhaler),100 mcg/puff,Eskayef Pharmaceuticals Ltd.,200,200 metered doses: ৳ 270.00
Azbec,Inhaler,Beclomethasone Dipropionate (Inhaler),250 mcg/puff,Eskayef Pharmaceuticals Ltd.,200,200 metered doses: ৳ 320.00
Azasite,Tablet,Azithromycin Dihydrate,500 mg,Sharif Pharmaceuticals Ltd.,35.11,(12's pack: ৳ 421.32)
Azasite,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Sharif Pharmaceuticals Ltd.,20,20 ml bottle: ৳ 100.00
Azapin,Tablet,Mirtazapine,15 mg,Labaid Pharma Ltd.,10.00,(30's pack: ৳ 300.00)
Azaltic,Tablet,Azithromycin Dihydrate,500 mg,NIPRO JMI Pharma Ltd.,35.00,(12's pack: ৳ 420.00)
Azaltic,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,NIPRO JMI Pharma Ltd.,15,15 ml bottle: ৳ 85.00
Azalid,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Orion Pharma Ltd.,15,15 ml bottle: ৳ 85.58
Azalid,Tablet,Azithromycin Dihydrate,500 mg,Orion Pharma Ltd.,35.11,(12's pack: ৳ 421.32)
Azalid,Capsule,Azithromycin Dihydrate,250 mg,Orion Pharma Ltd.,25.00,(8's pack: ৳ 200.00)
AZ,Capsule,Azithromycin Dihydrate,250 mg,Aristopharma Ltd.,25.00,(8's pack: ৳ 200.00)
AZ,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Aristopharma Ltd.,20,20 ml bottle: ৳ 100.00
AZ,Capsule,Azithromycin Dihydrate,500 mg,Aristopharma Ltd.,35.00,(8's pack: ৳ 280.00)
AZ,Ophthalmic Solution,Azithromycin Dihydrate (Ophthalmic),1%,Aristopharma Ltd.,2.5,2.5 ml drop: ৳ 120.00
AZ,Tablet,Azithromycin Dihydrate,500 mg,Aristopharma Ltd.,35.00,(12's pack: ৳ 420.00)
AZ,Tablet,Azithromycin Dihydrate,250 mg,Aristopharma Ltd.,25.00,(10's pack: ৳ 250.00)
Axsol,Syrup,Ambroxol Hydrochloride,15 mg/5 ml,Nipa Pharmaceuticals Ltd.,100,100 ml bottle: ৳ 40.00
Axovit,Tablet,"Vitamin B1, B6 & B12",100 mg+200 mg+200 mcg,Doctor TIMS Pharmaceuticals Ltd.,7.00,(50's pack: ৳ 350.00)
Actrapid,SC Injection,Insulin Human [Fast-Acting],40 IU/ml,Eskayef Pharmaceuticals Ltd.,10,10 ml vial: ৳ 268.00
Azin,Tablet,Azithromycin Dihydrate,500 mg,ACME Laboratories Ltd.,35.11,(12's pack: ৳ 421.32)
Azin,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,ACME Laboratories Ltd.,15,15 ml bottle: ৳ 95.29
Azin,Capsule,Azithromycin Dihydrate,250 mg,ACME Laboratories Ltd.,25.08,(6's pack: ৳ 150.48)
Azimon,Tablet,Azithromycin Dihydrate,500 mg,Monicopharma Ltd.,35.00,(8's pack: ৳ 280.00)
Azimon,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Monicopharma Ltd.,15,15 ml bottle: ৳ 90.00
Azimex,Tablet,Azithromycin Dihydrate,500 mg,Drug International Ltd.,35.15,(10's pack: ৳ 351.50)
Azimex,Tablet,Azithromycin Dihydrate,250 mg,Drug International Ltd.,25.10,(10's pack: ৳ 251.00)
Azimex,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Drug International Ltd.,15,15 ml bottle: ৳ 95.00
Azimete,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Medimet Pharmaceuticals Ltd.,15,15 ml bottle: ৳ 85.00
Azimete,Tablet,Azithromycin Dihydrate,500 mg,Medimet Pharmaceuticals Ltd.,30.00,(4's pack: ৳ 120.00)
Azilpres Plus,Tablet,Azilsartan Medoxomil + Chlorthalidone,40 mg+12.5 mg,Incepta Pharmaceuticals Ltd.,22.00,Unit Price: ৳ 22.00
Azilpres,Tablet,Azilsartan Medoxomil,80 mg,Incepta Pharmaceuticals Ltd.,22.00,(20's pack: ৳ 440.00)
Azilpres,Tablet,Azilsartan Medoxomil,40 mg,Incepta Pharmaceuticals Ltd.,12.00,(30's pack: ৳ 360.00)
Azilit,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Desh Pharmaceuticals Ltd.,15,15 ml bottle: ৳ 85.00
Azilit,Tablet,Azithromycin Dihydrate,500 mg,Desh Pharmaceuticals Ltd.,35.00,(3's pack: ৳ 105.00)
Azilab,Tablet,Azithromycin Dihydrate,500 mg,Labaid Pharma Ltd.,50.15,(6's pack: ৳ 300.87)
Azilab,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Labaid Pharma Ltd.,15,15 ml bottle: ৳ 115.00
Azikil,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,One Pharma Ltd.,20,20 ml bottle: ৳ 100.00
Azikil,Tablet,Azithromycin Dihydrate,500 mg,One Pharma Ltd.,35.00,"(8's pack: ৳ 280.00),(12's pack: ৳ 420.00)"
Aziget,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Get Well Limited,15,15 ml bottle: ৳ 85.00
Aziget,Tablet,Azithromycin Dihydrate,500 mg,Get Well Limited,34.00,Unit Price: ৳ 34.00
Azicin,Capsule,Azithromycin Dihydrate,500 mg,Opsonin Pharma Ltd.,35.00,(6's pack: ৳ 210.00)
Azicin,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Opsonin Pharma Ltd.,20,20 ml bottle: ৳ 100.00
Azicin,Capsule,Azithromycin Dihydrate,250 mg,Opsonin Pharma Ltd.,25.00,(6's pack: ৳ 150.00)
Azicin,Tablet,Azithromycin Dihydrate,250 mg,Opsonin Pharma Ltd.,25.00,(7's pack: ৳ 175.00)
Azicin,Tablet,Azithromycin Dihydrate,500 mg,Opsonin Pharma Ltd.,35.00,(7's pack: ৳ 245.00)
Azicin,Ophthalmic Solution,Azithromycin Dihydrate (Ophthalmic),1%,Opsonin Pharma Ltd.,2.5,2.5 ml drop: ৳ 120.00
Azicin,Powder for Suspension,Azithromycin Dihydrate,1 gm/Sachet,Opsonin Pharma Ltd.,1,(5's pack: ৳ 400.00)
Azi S,Tablet,Azithromycin Dihydrate,500 mg,Seema Pharmaceuticals Ltd.,30.00,(6's pack: ৳ 180.00)
Azi S,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Seema Pharmaceuticals Ltd.,15,15 ml bottle: ৳ 100.00
Actose,Tablet,Pioglitazone,15 mg,UniMed UniHealth,8.00,(30's pack: ৳ 240.00)
Azithrocin,Tablet,Azithromycin Dihydrate,250 mg,Beximco Pharmaceuticals Ltd.,25.00,(10's pack: ৳ 250.00)
Azithrocin,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Beximco Pharmaceuticals Ltd.,15,15 ml bottle: ৳ 85.00
Azithrocin,Tablet,Azithromycin Dihydrate,500 mg,Beximco Pharmaceuticals Ltd.,35.00,(9's pack: ৳ 315.00)
Azithrocin,Capsule,Azithromycin Dihydrate,250 mg,Beximco Pharmaceuticals Ltd.,25.00,(10's pack: ৳ 250.00)
Azithrocin,IV Infusion,Azithromycin Dihydrate,500 mg/vial,Beximco Pharmaceuticals Ltd.,500,500 mg vial: ৳ 460.00
Azithro,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Astra Biopharmaceuticals Ltd.,15,15 ml bottle: ৳ 85.00
Azithro,Tablet,Azithromycin Dihydrate,500 mg,Astra Biopharmaceuticals Ltd.,30.00,(6's pack: ৳ 180.00)
Azithro,Tablet,Azithromycin Dihydrate,250 mg,Astra Biopharmaceuticals Ltd.,20.00,Unit Price: ৳ 20.00
Azithral,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Globex Pharmaceuticals Ltd.,15,15 ml bottle: ৳ 85.00
Azithral,Tablet,Azithromycin Dihydrate,500 mg,Globex Pharmaceuticals Ltd.,30.00,Unit Price: ৳ 30.00
Azithin,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Chemist Laboratories  Ltd.,15,15 ml bottle: ৳ 85.00
Azithin,Tablet,Azithromycin Dihydrate,500 mg,Chemist Laboratories  Ltd.,35.00,(12's pack: ৳ 420.00)
Azitel,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,Cosmic Pharma Ltd.,15,15 ml bottle: ৳ 85.00
Azitel,Capsule,Azithromycin Dihydrate,500 mg,Cosmic Pharma Ltd.,35.00,(8's pack: ৳ 280.00)
Azitac,Tablet,Azithromycin Dihydrate,500 mg,United Pharmaceuticals Ltd.,30.24,(6's pack: ৳ 181.42)
Azitac,Powder for Suspension,Azithromycin Dihydrate,200 mg/5 ml,United Pharmaceuticals Ltd.,15,15 ml bottle: ৳ 80.55
Azistar,Tablet,Azilsartan Medoxomil,80 mg,Aristopharma Ltd.,22.00,Unit Price: ৳ 22.00
Azistar,Tablet,Azilsartan Medoxomil,40 mg,Aristopharma Ltd.,12.00,Unit Price: ৳ 12.00
Azisan Plus,Tablet,Azilsartan Medoxomil + Chlorthalidone,40 mg+12.5 mg,Renata Limited,22.00,"(10's pack: ৳ 220.00),(20's pack: ৳ 440.00)"
